--RECOMENDADOR BASADO EN CONOCIMIENTO--
ANALISIS DE CADA DOCUMENTO
Documento 0

N.  Termino              TF         IDF        TF-IDF    

1   cherry               1.0        1.301      1.301     
2   fruit                1.0        0.301      0.301     
3   light                1.0        1.301      1.301     
4   tannins              1.0        0.699      0.699     
5   give                 1.0        1.0        1.0       
6   bright               1.0        0.824      0.824     
7   wine                 1.0        0.187      0.187     
8   open                 1.0        0.824      0.824     
9   juicy                1.0        0.824      0.824     
10  character            1.0        1.0        1.0       
--------------------------------------------------------

Documento 1

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   bright               1.0        0.824      0.824     
3   wine                 1.0        0.187      0.187     
4   merlot               1.0        1.301      1.301     
5   nero                 1.0        1.301      1.301     
6   d'avola              1.0        1.301      1.301     
7   base                 1.0        1.301      1.301     
8   easy                 1.0        1.301      1.301     
9   pair                 1.0        0.699      0.699     
10  fettuccine           1.0        1.301      1.301     
11  meat                 1.0        1.0        1.0       
12  sauce                1.0        1.0        1.0       
13  pork                 1.0        1.301      1.301     
14  roast                1.0        1.301      1.301     
15  quality              1.0        1.0        1.0       
16  clean                1.0        0.824      0.824     
17  sharp                1.0        1.301      1.301     
--------------------------------------------------------

Documento 2

N.  Termino              TF         IDF        TF-IDF    

1   extend               1.0        1.301      1.301     
2   calanìca             1.0        1.301      1.301     
3   series               1.0        1.301      1.301     
4   grilloviognier       1.0        1.301      1.301     
5   blend                1.0        0.824      0.824     
6   show                 1.301      0.699      0.909     
7   aromas               1.0        0.602      0.602     
8   honeysuckle          1.0        1.301      1.301     
9   jasmine              1.0        1.301      1.301     
10  back                 1.0        1.0        1.0       
11  touch                1.0        0.699      0.699     
12  cut                  1.0        1.301      1.301     
13  grass                1.0        1.0        1.0       
14  wild                 1.0        1.301      1.301     
15  sage                 1.0        1.301      1.301     
16  mouth                1.0        1.301      1.301     
17  ripe                 1.0        0.699      0.699     
18  yellowfruit          1.0        1.301      1.301     
19  flavors              1.0        0.398      0.398     
--------------------------------------------------------

Documento 3

N.  Termino              TF         IDF        TF-IDF    

1   flavors              1.0        0.398      0.398     
2   rustic               1.0        1.301      1.301     
3   dry                  1.0        1.0        1.0       
4   berries              1.0        1.301      1.301     
5   currants             1.0        1.301      1.301     
6   licorice             1.0        1.301      1.301     
7   spices               1.0        1.301      1.301     
8   cabernet             1.301      0.824      1.072     
9   franc                1.0        1.301      1.301     
10  sauvignon            1.0        0.699      0.699     
--------------------------------------------------------

Documento 4

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   show                 1.0        0.699      0.699     
3   sauvignon            1.0        0.699      0.699     
4   tart                 1.0        1.301      1.301     
5   green                1.0        1.0        1.0       
6   gooseberry           1.0        1.0        1.0       
7   flavor               1.0        0.602      0.602     
8   similar              1.0        1.301      1.301     
9   zealand              1.0        1.0        1.0       
10  blanc                1.0        0.824      0.824     
11  note                 1.0        0.456      0.456     
12  include              1.0        1.301      1.301     
13  tropical             1.0        1.0        1.0       
14  orange               1.0        1.0        1.0       
15  honey                1.0        0.824      0.824     
16  unoaked              1.0        1.301      1.301     
17  splash               1.0        1.301      1.301     
18  muscat               1.0        1.301      1.301     
19  commendable          1.0        1.301      1.301     
20  dryness              1.0        1.301      1.301     
21  acidity              1.0        0.824      0.824     
--------------------------------------------------------

Documento 5

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   touch                1.0        0.699      0.699     
3   flavor               1.0        0.602      0.602     
4   note                 1.0        0.456      0.456     
5   erath                1.0        1.301      1.301     
6   2010                 1.0        1.301      1.301     
7   vineyard             1.0        1.301      1.301     
8   designates           1.0        1.301      1.301     
9   strongly             1.0        1.301      1.301     
10  herbal               1.0        1.301      1.301     
11  leaf                 1.0        1.301      1.301     
12  herb                 1.0        1.0        1.0       
13  create               1.0        1.301      1.301     
14  unripe               1.0        1.301      1.301     
15  impressions          1.0        1.301      1.301     
16  bitterness           1.0        1.0        1.0       
17  finish               1.0        0.602      0.602     
18  pass                 1.0        1.301      1.301     
19  ripeness             1.0        1.301      1.301     
20  sweet                1.0        0.699      0.699     
21  tomatoes             1.0        1.301      1.301     
--------------------------------------------------------

Documento 6

N.  Termino              TF         IDF        TF-IDF    

1   blend                1.0        0.824      0.824     
2   aromas               1.0        0.602      0.602     
3   grass                1.0        1.0        1.0       
4   flavors              1.0        0.398      0.398     
5   note                 1.0        0.456      0.456     
6   finish               1.0        0.602      0.602     
7   sweet                1.0        0.699      0.699     
8   white                1.0        0.824      0.824     
9   flower               1.0        1.301      1.301     
10  lychee               1.0        1.301      1.301     
11  apple                1.0        1.301      1.301     
12  carry                1.0        1.301      1.301     
13  mellow               1.0        1.301      1.301     
14  bouquet              1.0        1.301      1.301     
15  chunkyfeeling        1.0        1.301      1.301     
16  palate               1.0        0.602      0.602     
17  bear                 1.0        1.0        1.0       
18  powdery              1.0        1.301      1.301     
19  peach                1.0        1.301      1.301     
20  melon                1.0        1.301      1.301     
21  mix                  1.0        1.301      1.301     
22  greener              1.0        1.301      1.301     
23  lime                 1.0        1.301      1.301     
24  80%                  1.0        1.301      1.301     
25  viognier             1.0        1.301      1.301     
26  component            1.0        1.301      1.301     
27  typical              1.0        1.301      1.301     
28  warm                 1.0        1.301      1.301     
29  climate              1.0        1.301      1.301     
30  plump                1.0        1.0        1.0       
31  oily                 1.0        1.301      1.301     
32  short                1.0        1.301      1.301     
33  chardonnay           1.0        1.301      1.301     
34  fill                 1.0        1.301      1.301     
--------------------------------------------------------

Documento 7

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   wine                 1.0        0.187      0.187     
3   meat                 1.0        1.0        1.0       
4   sauce                1.0        1.0        1.0       
5   aromas               1.0        0.602      0.602     
6   flavors              1.0        0.398      0.398     
7   cabernet             1.0        0.824      0.824     
8   concentrate          1.0        1.301      1.301     
9   offer                1.0        1.0        1.0       
10  cure                 1.0        1.301      1.301     
11  dried                1.0        1.301      1.301     
12  rosemary             1.0        1.301      1.301     
13  barbecue             1.0        1.301      1.301     
14  spice                1.0        1.301      1.301     
15  teriyaki             1.0        1.301      1.301     
16  bold                 1.0        1.301      1.301     
17  chewy                1.0        1.301      1.301     
18  feel                 1.0        1.301      1.301     
--------------------------------------------------------

Documento 8

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   wine                 1.0        0.187      0.187     
3   aromas               1.0        0.602      0.602     
4   ripe                 1.0        0.699      0.699     
5   palate               1.0        0.602      0.602     
6   plump                1.0        1.0        1.0       
7   inky                 1.0        1.301      1.301     
8   color                1.0        1.301      1.301     
9   blackberry           1.0        1.301      1.301     
10  jam                  1.0        1.301      1.301     
11  rum                  1.0        1.301      1.301     
12  cake                 1.0        1.301      1.301     
13  soft                 1.0        0.824      0.824     
14  smooth               1.0        1.301      1.301     
--------------------------------------------------------

Documento 9

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   bright               1.0        0.824      0.824     
3   wine                 1.301      0.187      0.243     
4   juicy                1.0        0.824      0.824     
5   quality              1.0        1.0        1.0       
6   flavor               1.0        0.602      0.602     
7   finish               1.0        0.602      0.602     
8   palate               1.0        0.602      0.602     
9   natural              1.0        1.301      1.301     
10  movement             1.0        1.301      1.301     
11  organic              1.0        1.301      1.301     
12  grapes               1.0        1.301      1.301     
13  label                1.0        1.301      1.301     
14  print                1.0        1.301      1.301     
15  vegetable            1.0        1.301      1.301     
16  recycled             1.0        1.301      1.301     
17  paper                1.0        1.301      1.301     
18  nice                 1.0        1.301      1.301     
19  berry                1.0        0.699      0.699     
--------------------------------------------------------

Documento 10

N.  Termino              TF         IDF        TF-IDF    

1   show                 1.0        0.699      0.699     
2   back                 1.0        1.0        1.0       
3   touch                1.0        0.699      0.699     
4   note                 1.0        0.456      0.456     
5   white                1.0        0.824      0.824     
6   catarratto           1.0        1.301      1.301     
7   sicily's             1.0        1.301      1.301     
8   widely               1.0        1.301      1.301     
9   farmed               1.0        1.301      1.301     
10  grape                1.0        1.301      1.301     
11  varieties            1.0        1.301      1.301     
12  expression           1.0        1.301      1.301     
13  mineral              1.0        1.0        1.0       
14  citrus               1.0        0.824      0.824     
15  almond               1.0        1.301      1.301     
16  blossom              1.0        1.301      1.301     
--------------------------------------------------------

Documento 11

N.  Termino              TF         IDF        TF-IDF    

1   tannins              1.0        0.699      0.699     
2   wine                 1.0        0.187      0.187     
3   open                 1.0        0.824      0.824     
4   touch                1.0        0.699      0.699     
5   flavors              1.0        0.398      0.398     
6   note                 1.0        0.456      0.456     
7   bitterness           1.0        1.0        1.0       
8   berry                1.0        0.699      0.699     
9   stiff                1.0        1.301      1.301     
10  tannic               1.0        1.301      1.301     
11  slowly               1.0        1.301      1.301     
12  bring                1.0        1.301      1.301     
13  brambly              1.0        1.301      1.301     
14  play                 1.0        1.301      1.301     
15  earthy               1.0        1.301      1.301     
16  herbs                1.0        1.301      1.301     
--------------------------------------------------------

Documento 12

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   wine                 1.0        0.187      0.187     
3   ripe                 1.0        0.699      0.699     
4   flavor               1.0        0.602      0.602     
5   acidity              1.0        0.824      0.824     
6   soft                 1.0        0.824      0.824     
7   berry                1.0        0.699      0.699     
8   festive              1.0        1.301      1.301     
--------------------------------------------------------

Documento 13

N.  Termino              TF         IDF        TF-IDF    

1   fruit                1.0        0.301      0.301     
2   pair                 1.0        0.699      0.699     
3   clean                1.0        0.824      0.824     
4   flavors              1.0        0.398      0.398     
5   dry                  1.0        1.0        1.0       
6   sauvignon            1.0        0.699      0.699     
7   green                1.0        1.0        1.0       
8   blanc                1.0        0.824      0.824     
9   tropical             1.0        1.0        1.0       
10  honey                1.0        0.824      0.824     
11  citrus               1.0        0.824      0.824     
12  brisk                1.0        1.301      1.301     
13  mouthfeel            1.0        1.301      1.301     
14  slightly             1.0        1.301      1.301     
15  oaked                1.0        1.301      1.301     
16  instant              1.0        1.301      1.301     
17  likeability          1.0        1.301      1.301     
18  rich                 1.0        1.301      1.301     
19  streak               1.0        1.301      1.301     
20  sweetens             1.0        1.301      1.301     
21  asian                1.0        1.301      1.301     
22  fare                 1.0        1.301      1.301     
23  ham                  1.0        1.301      1.301     
24  salad                1.0        1.301      1.301     
25  grapefruit           1.0        1.0        1.0       
26  sections             1.0        1.301      1.301     
--------------------------------------------------------

Documento 14

N.  Termino              TF         IDF        TF-IDF    

1   flavors              1.0        0.398      0.398     
2   note                 1.0        0.456      0.456     
3   herb                 1.0        1.0        1.0       
4   finish               1.0        0.602      0.602     
5   palate               1.0        0.602      0.602     
6   berry                1.0        0.699      0.699     
7   aroma                1.0        1.301      1.301     
8   cola                 1.0        1.301      1.301     
9   tangy                1.0        1.301      1.301     
10  racy                 1.0        1.301      1.301     
11  deliver              1.0        1.301      1.301     
12  raspberry            1.0        1.301      1.301     
13  plum                 1.0        1.301      1.301     
14  modest               1.0        1.301      1.301     
--------------------------------------------------------

Documento 15

N.  Termino              TF         IDF        TF-IDF    

1   tannins              1.0        0.699      0.699     
2   wine                 1.0        0.187      0.187     
3   blend                1.0        0.824      0.824     
4   note                 1.0        0.456      0.456     
5   finish               1.0        0.602      0.602     
6   start                1.0        1.301      1.301     
7   block                1.0        1.301      1.301     
8   oaky                 1.0        1.301      1.301     
9   dripping             1.0        1.301      1.301     
10  caramel              1.0        1.301      1.301     
11  vanilla              1.0        1.0        1.0       
12  texture              1.0        1.301      1.301     
13  midpalate            1.0        1.301      1.301     
14  finessed             1.0        1.301      1.301     
15  graceful             1.0        1.301      1.301     
16  drying               1.0        1.0        1.0       
17  latch                1.0        1.301      1.301     
18  oakdriven            1.0        1.301      1.301     
19  eccentric            1.0        1.301      1.301     
20  50%                  1.0        1.301      1.301     
21  tannat               1.0        1.301      1.301     
22  35%                  1.0        1.301      1.301     
23  petit                1.0        1.301      1.301     
24  verdot               1.0        1.301      1.301     
25  15%                  1.0        1.301      1.301     
26  pinotage             1.0        1.301      1.301     
--------------------------------------------------------

Documento 16

N.  Termino              TF         IDF        TF-IDF    

1   pair                 1.0        0.699      0.699     
2   clean                1.0        0.824      0.824     
3   offer                1.0        1.0        1.0       
